,Accession,Kinase_name,Gene_symbol,Gene_family,Cell_Location,Protein_longname and Alternative_names
505,Q15118,PDK1_HUMAN,PDK1 PDHK1,PDK/BCKDK protein kinase family,Mitochondrion matrix,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial  (Pyruvate dehydrogenase kinase isoform 1) (PDH kinase 1)"
506,Q15119,PDK2_HUMAN,PDK2 PDHK2,PDK/BCKDK protein kinase family,Mitochondrion matrix,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial  (Pyruvate dehydrogenase kinase isoform 2) (PDH kinase 2) (PDKII)"
507,Q15120,PDK3_HUMAN,PDK3 PDHK3,PDK/BCKDK protein kinase family,Mitochondrion matrix,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial  (Pyruvate dehydrogenase kinase isoform 3)"
508,Q16654,PDK4_HUMAN,PDK4 PDHK4,PDK/BCKDK protein kinase family,Mitochondrion matrix,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 4, mitochondrial  (Pyruvate dehydrogenase kinase isoform 4)"
509,Q13315,ATM_HUMAN,ATM,"PI3/PI4-kinase family, ATM subfamily",Nucleus Cytoplasmic vesicle,Serine-protein kinase ATM  (Ataxia telangiectasia mutated) (A-T mutated)
510,Q9H6X2,ANTR1_HUMAN,ANTXR1 ATR TEM8,ATR family,"Cell membrane Single-pass type I membrane protein Cell projection, lamellipodium membrane Single-pass type I membrane protein Cell projection, filopodium membrane Single-pass type I membrane protein",Anthrax toxin receptor 1 (Tumor endothelial marker 8)
511,Q13535,ATR_HUMAN,ATR FRP1,"PI3/PI4-kinase family, ATM subfamily","Nucleus Nucleus, PML body Chromosome",Serine/threonine-protein kinase ATR  (Ataxia telangiectasia and Rad3-related protein) (FRAP-related protein 1)
512,P20848,A1ATR_HUMAN,SERPINA2 ARGS ATR PIL SERPINA2P,Serpin family,Endoplasmic reticulum,Putative alpha-1-antitrypsin-related protein (Protease inhibitor 1-like) (Serpin A2)
513,P42345,MTOR_HUMAN,MTOR FRAP FRAP1 FRAP2 RAFT1 RAPT1,PI3/PI4-kinase family,"Endoplasmic reticulum membrane Peripheral membrane protein Cytoplasmic side Golgi apparatus membrane Peripheral membrane protein Cytoplasmic side Mitochondrion outer membrane Peripheral membrane protein Cytoplasmic side Lysosome Cytoplasm Nucleus, PML body Microsome membrane",Serine/threonine-protein kinase mTOR  (FK506-binding protein 12-rapamycin complex-associated protein 1) (FKBP12-rapamycin complex-associated protein) (Mammalian target of rapamycin) (mTOR) (Mechanistic target of rapamycin) (Rapamycin and FKBP12 target 1) (Rapamycin target protein 1)
514,P42336,PK3CA_HUMAN,PIK3CA,PI3/PI4-kinase family,"Endoplasmic reticulum membrane Peripheral membrane protein Cytoplasmic side Golgi apparatus membrane Peripheral membrane protein Cytoplasmic side Mitochondrion outer membrane Peripheral membrane protein Cytoplasmic side Lysosome Cytoplasm Nucleus, PML body Microsome membrane","Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform (PI3-kinase subunit alpha) (PI3K-alpha) (PI3Kalpha) (PtdIns-3-kinase subunit alpha)  (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit alpha) (PtdIns-3-kinase subunit p110-alpha) (p110alpha) (Phosphoinositide-3-kinase catalytic alpha polypeptide) (Serine/threonine protein kinase PIK3CA) "
515,P42338,PK3CB_HUMAN,PIK3CB PIK3C1,PI3/PI4-kinase family,Cytoplasm Nucleus,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform (PI3-kinase subunit beta) (PI3K-beta) (PI3Kbeta) (PtdIns-3-kinase subunit beta) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit beta) (PtdIns-3-kinase subunit p110-beta) (p110beta)"
516,O00329,PK3CD_HUMAN,PIK3CD,PI3/PI4-kinase family,Cytoplasm,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform (PI3-kinase subunit delta) (PI3K-delta) (PI3Kdelta) (PtdIns-3-kinase subunit delta) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit delta) (PtdIns-3-kinase subunit p110-delta) (p110delta)"
517,P48736,PK3CG_HUMAN,PIK3CG,PI3/PI4-kinase family,Cytoplasm Cell membrane,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform (PI3-kinase subunit gamma) (PI3K-gamma) (PI3Kgamma) (PtdIns-3-kinase subunit gamma) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit gamma) (PtdIns-3-kinase subunit p110-gamma) (p110gamma) (Phosphoinositide-3-kinase catalytic gamma polypeptide) (Serine/threonine protein kinase PIK3CG)  (p120-PI3K)"
518,P78527,PRKDC_HUMAN,PRKDC HYRC HYRC1,PI3/PI4-kinase family,"Nucleus Nucleus, nucleolus",DNA-dependent protein kinase catalytic subunit (DNA-PK catalytic subunit) (DNA-PKcs)  (DNPK1) (p460)
519,P33991,MCM4_HUMAN,MCM4 CDC21,MCM family,Nucleus,DNA replication licensing factor MCM4 (CDC21 homolog) (P1-CDC21)
520,Q96Q15,SMG1_HUMAN,SMG1 ATX KIAA0421 LIP,PI3/PI4-kinase family,Nucleus Cytoplasm,Serine/threonine-protein kinase SMG1 (SMG-1) (hSMG-1)  (61E3.4) (Lambda/iota protein kinase C-interacting protein) (Lambda-interacting protein)
521,Q9BRS2,RIOK1_HUMAN,RIOK1 RIO1,"Protein kinase superfamily, RIO-type Ser/Thr kinase family","Cytoplasm, cytosol",Serine/threonine-protein kinase RIO1  (RIO kinase 1)
522,Q9BVS4,RIOK2_HUMAN,RIOK2 RIO2,"Protein kinase superfamily, RIO-type Ser/Thr kinase family",Cytoplasm,Serine/threonine-protein kinase RIO2  (RIO kinase 2)
523,O14730,RIOK3_HUMAN,RIOK3 SUDD,"Protein kinase superfamily, RIO-type Ser/Thr kinase family",Cytoplasm,Serine/threonine-protein kinase RIO3  (RIO kinase 3) (sudD homolog)
524,P16913,B1_VACCW,VPK1 VACWR183 B1R,"Protein kinase superfamily, Ser/Thr protein kinase family, Poxviruses subfamily",Virion Host cytoplasm,B1 kinase (Serine/threonine-protein kinase 1)  (Vaccinia protein kinase 1)
